arquivo,coluna,n_nan
olist_customers_dataset.csv,customer_id,0
olist_customers_dataset.csv,customer_unique_id,0
olist_customers_dataset.csv,customer_zip_code_prefix,0
olist_customers_dataset.csv,customer_city,0
olist_customers_dataset.csv,customer_state,0
olist_geolocation_dataset.csv,geolocation_zip_code_prefix,0
olist_geolocation_dataset.csv,geolocation_lat,0
olist_geolocation_dataset.csv,geolocation_lng,0
olist_geolocation_dataset.csv,geolocation_city,0
olist_geolocation_dataset.csv,geolocation_state,0
olist_orders_dataset.csv,order_id,0
olist_orders_dataset.csv,customer_id,0
olist_orders_dataset.csv,order_status,0
olist_orders_dataset.csv,order_purchase_timestamp,0
olist_orders_dataset.csv,order_approved_at,160
olist_orders_dataset.csv,order_delivered_carrier_date,1783
olist_orders_dataset.csv,order_delivered_customer_date,2965
olist_orders_dataset.csv,order_estimated_delivery_date,0
olist_order_items_dataset.csv,order_id,0
olist_order_items_dataset.csv,order_item_id,0
olist_order_items_dataset.csv,product_id,0
olist_order_items_dataset.csv,seller_id,0
olist_order_items_dataset.csv,shipping_limit_date,0
olist_order_items_dataset.csv,price,0
olist_order_items_dataset.csv,freight_value,0
olist_order_payments_dataset.csv,order_id,0
olist_order_payments_dataset.csv,payment_sequential,0
olist_order_payments_dataset.csv,payment_type,0
olist_order_payments_dataset.csv,payment_installments,0
olist_order_payments_dataset.csv,payment_value,0
olist_order_reviews_dataset.csv,review_id,0
olist_order_reviews_dataset.csv,order_id,0
olist_order_reviews_dataset.csv,review_score,0
olist_order_reviews_dataset.csv,review_comment_title,87656
olist_order_reviews_dataset.csv,review_comment_message,58247
olist_order_reviews_dataset.csv,review_creation_date,0
olist_order_reviews_dataset.csv,review_answer_timestamp,0
olist_products_dataset.csv,product_id,0
olist_products_dataset.csv,product_category_name,610
olist_products_dataset.csv,product_name_lenght,610
olist_products_dataset.csv,product_description_lenght,610
olist_products_dataset.csv,product_photos_qty,610
olist_products_dataset.csv,product_weight_g,2
olist_products_dataset.csv,product_length_cm,2
olist_products_dataset.csv,product_height_cm,2
olist_products_dataset.csv,product_width_cm,2
olist_sellers_dataset.csv,seller_id,0
olist_sellers_dataset.csv,seller_zip_code_prefix,0
olist_sellers_dataset.csv,seller_city,0
olist_sellers_dataset.csv,seller_state,0
product_category_name_translation.csv,product_category_name,0
product_category_name_translation.csv,product_category_name_english,0
